868	119	61	2017-07-10 16:38:01	2017-07-10 16:38:01
861	151	598	2017-07-09 08:16:41	2017-07-09 08:16:41
109	11	62	2017-06-06 13:03:17	2017-06-06 13:03:17
862	1	600	2017-07-09 08:36:17	2017-07-09 08:36:17
111	239	63	2017-06-06 13:06:18	2017-06-06 13:06:18
863	1	602	2017-07-10 07:56:37	2017-07-10 07:56:37
113	68	64	2017-06-06 13:09:17	2017-06-06 13:09:17
864	25	632	2017-07-10 14:25:13	2017-07-10 14:25:13
115	25	65	2017-06-06 13:11:59	2017-06-06 13:11:59
865	40	633	2017-07-10 14:28:48	2017-07-10 14:28:48
117	240	66	2017-06-06 13:15:16	2017-06-06 13:15:16
866	29	633	2017-07-10 14:28:48	2017-07-10 14:28:48
119	68	67	2017-06-06 13:18:31	2017-06-06 13:18:31
867	119	637	2017-07-10 14:51:46	2017-07-10 14:51:46
121	146	68	2017-06-06 13:22:24	2017-06-06 13:22:24
869	118	640	2017-07-11 12:56:35	2017-07-11 12:56:35
123	68	69	2017-06-06 13:24:28	2017-06-06 13:24:28
870	11	641	2017-07-11 12:57:21	2017-07-11 12:57:21
125	68	70	2017-06-06 13:26:14	2017-06-06 13:26:14
871	179	642	2017-07-11 14:46:48	2017-07-11 14:46:48
127	11	71	2017-06-06 13:29:40	2017-06-06 13:29:40
872	432	643	2017-07-11 15:59:18	2017-07-11 15:59:18
129	241	73	2017-06-06 15:44:08	2017-06-06 15:44:08
873	16	644	2017-07-11 16:17:10	2017-07-11 16:17:10
131	243	74	2017-06-06 19:05:11	2017-06-06 19:05:11
781	44	456	2017-06-29 21:30:31	2017-06-29 21:30:31
874	40	654	2017-07-12 10:21:54	2017-07-12 10:21:54
875	58	655	2017-07-12 10:23:30	2017-07-12 10:23:30
876	264	655	2017-07-12 10:23:30	2017-07-12 10:23:30
136	29	77	2017-06-06 20:31:31	2017-06-06 20:31:31
877	221	657	2017-07-12 10:30:20	2017-07-12 10:30:20
826	47	79	2017-06-30 22:16:30	2017-06-30 22:16:30
878	263	660	2017-07-12 10:54:47	2017-07-12 10:54:47
879	129	661	2017-07-12 11:19:47	2017-07-12 11:19:47
831	396	482	2017-07-02 20:35:01	2017-07-02 20:35:01
142	42	81	2017-06-06 22:19:31	2017-06-06 22:19:31
143	245	81	2017-06-06 22:19:31	2017-06-06 22:19:31
881	34	662	2017-07-14 12:04:25	2017-07-14 12:04:25
145	248	82	2017-06-06 22:32:37	2017-06-06 22:32:37
146	246	82	2017-06-06 22:32:37	2017-06-06 22:32:37
147	247	82	2017-06-06 22:32:37	2017-06-06 22:32:37
880	245	661	2017-07-12 11:19:47	2017-07-12 11:19:47
149	249	82	2017-06-06 22:32:37	2017-06-06 22:32:37
